Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"Indigenous Status (INGP) and LANP - 4 Digit Level"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"Indigenous Status (INGP)","LANP - 4 Digit Level",
"Non-Indigenous","Australian Indigenous Languages, nfd",167,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",4,
,"Maung",0,
,"Ngan'gikurunggurr",0,
,"Nunggubuyu",0,
,"Rembarrnga",0,
,"Tiwi",15,
,"Alawa",0,
,"Dalabon",0,
,"Gudanji",0,
,"Iwaidja",0,
,"Jaminjung",0,
,"Jawoyn",0,
,"Jingulu",0,
,"Kunbarlang",0,
,"Larrakiya",0,
,"Malak Malak",0,
,"Mangarrayi",0,
,"Maringarr",0,
,"Marra",0,
,"Marrithiyel",0,
,"Matngala",0,
,"Murrinh Patha",0,
,"Na-kara",0,
,"Ndjebbana (Gunavidji)",0,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",0,
,"Wambaya",0,
,"Wardaman",0,
,"Amurdak",0,
,"Garrwa",0,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",0,
,"Wagiman",0,
,"Yanyuwa",0,
,"Marridan (Maridan)",0,
,"Kuwinjkuan, nfd",0,
,"Gundjeihmi",0,
,"Kune",0,
,"Kuninjku",0,
,"Kunwinjku",0,
,"Mayali",0,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",0,
,"Gun-nartpa",0,
,"Gurr-goni",0,
,"Burraran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",0,
,"Yolngu Matha, nfd",45,
,"Dhangu, nfd",0,
,"Galpu",0,
,"Golumala",0,
,"Wangurri",0,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",0,
,"Dhalwangu",0,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",0,
,"Djambarrpuyngu",27,
,"Djapu",0,
,"Daatiwuy",0,
,"Marrangu",0,
