Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"INGP Indigenous Status and LANP - 4 Digit Level"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"INGP Indigenous Status","LANP - 4 Digit Level",
"Non-Indigenous","Australian Indigenous Languages, nfd",151,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",5,
,"Maung",0,
,"Ngan'gikurunggurr",0,
,"Nunggubuyu",0,
,"Rembarrnga",0,
,"Tiwi",14,
,"Alawa",0,
,"Dalabon",0,
,"Gudanji",0,
,"Iwaidja",0,
,"Jaminjung",0,
,"Jawoyn",0,
,"Jingulu",0,
,"Kunbarlang",0,
,"Larrakiya",0,
,"Malak Malak",0,
,"Mangarrayi",0,
,"Maringarr",0,
,"Marra",0,
,"Marrithiyel",0,
,"Matngala",0,
,"Murrinh Patha",7,
,"Na-kara",0,
,"Ndjebbana (Gunavidji)",0,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",0,
,"Wambaya",0,
,"Wardaman",0,
,"Amurdak",0,
,"Garrwa",0,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",0,
,"Wagiman",0,
,"Yanyuwa",0,
,"Marridan (Maridan)",0,
,"Kunwinjkuan, nfd",0,
,"Gundjeihmi",0,
,"Kune",0,
,"Kuninjku",0,
,"Kunwinjku",13,
,"Mayali",0,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",4,
,"Gun-nartpa",0,
,"Gurr-goni",0,
,"Burarran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",0,
,"Yolngu Matha, nfd",61,
,"Dhangu, nfd",0,
,"Galpu",0,
,"Golumala",0,
,"Wangurri",0,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",0,
,"Dhalwangu",0,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",0,
,"Djambarrpuyngu",16,
,"Djapu",0,
,"Daatiwuy",0,
,"Marrangu",0,
,"Liyagalawumirr",0,
,"Liyagawumirr",0,
,"Dhuwal, nec",0,
,"Dhuwala, nfd",0,
,"Gumatj",0,
,"Gupapuyngu",5,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",0,
,"Wurlaki",0,
,"Djinang, nec",0,
,"Djinba, nfd",0,
,"Ganalbingu",0,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",0,
,"Wagilak",0,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",0,
,"Dhuwaya",0,
,"Djangu",0,
,"Madarrpa",0,
,"Warramiri",0,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",3,
,"Kuku Yalanji",8,
,"Guugu Yimidhirr",3,
,"Kuuku-Ya'u",0,
,"Wik Mungkan",5,
,"Djabugay",0,
,"Dyirbal",0,
,"Girramay",0,
,"Koko-Bera",0,
,"Kuuk Thayorre",0,
,"Lamalama",0,
,"Yidiny",0,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",0,
,"Torres Strait Island Languages, nfd",5,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",10,
,"Meriam Mir",5,
,"Yumplatok (Torres Strait Creole)",156,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",0,
,"Gurindji",0,
,"Gurindji Kriol",0,
,"Jaru",0,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",0,
,"Ngardi",0,
,"Ngarinyman",3,
,"Walmajarri",0,
,"Wanyjirra",0,
,"Warlmanpa",0,
,"Warlpiri",20,
,"Warumungu",0,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",5,
,"Kaytetye",0,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",0,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",0,
,"Anmatyerr, nec",0,
,"Arrernte, nfd",0,
,"Eastern Arrernte",0,
,"Western Arrarnta",3,
,"Arrernte, nec",11,
,"Arandic, nec",0,
,"Western Desert Languages, nfd",0,
,"Antikarinya",0,
,"Kartujarra",0,
,"Kukatha",0,
,"Kukatja",0,
,"Luritja",7,
,"Manyjilyjarra",0,
,"Martu Wangka",7,
,"Ngaanyatjarra",11,
,"Pintupi",0,
,"Pitjantjatjara",69,
,"Wangkajunga",0,
,"Wangkatha",8,
,"Warnman",0,
,"Yankunytjatjara",3,
,"Yulparija",0,
,"Tjupany",0,
,"Western Desert Languages, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",5,
,"Bunuba",0,
,"Gooniyandi",0,
